iso3,country_name,basel_score,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_per_capita,gdp_log
CMR,CAMEROON,6.75,-15.8035434484482,-14.5901829004288,-12.341367661953,-12.5844527482986,27.0,12.0471750945074,51.6548130092196,1604.87726954895,7.380802565069575
NGA,NIGERIA,6.72,-15.61498939991,-12.7940357327461,-14.5364825725555,-16.1832258701324,25.0,4.36487210382441,45.3166327186278,2899.16047470324,7.972176482582176
SEN,SENEGAL,6.67,-0.293316888622939,-3.7188555598259,0.269738748436794,-4.15129828453064,43.0,5.51350072873882,55.9644071481718,1574.0281059306,7.361393285190607
NER,NIGER,6.64,-8.19417244195938,-6.88100904226303,-8.86769795417785,-10.0912539958954,32.0,1.58877765041864,11.685591291668,609.745147574878,6.413041079007583
BEN,BENIN,6.62,-1.49879024922848,-8.38949233293534,-2.34420366585255,-4.87710511684419,43.0,2.90096055617268,48.605530136871,1266.42711031904,7.143954915727939
MRT,MAURITANIA,6.62,-11.126699924469,-9.13556122779846,-9.98269885778427,-14.8710412979127,30.0,11.3536148427181,23.4559362292581,1960.35240077424,7.580879532376531
BFA,BURKINA FASO,6.48,-1.36675196141004,-8.53728902339935,-11.7481285333633,-6.55627948045731,41.0,2.73508485346058,36.1085342551293,827.330843486661,6.718204667607621
NIC,NICARAGUA,6.42,-18.0245605707169,-18.345545053482,-14.5088701248169,-12.8062727451324,17.0,7.78202626351948,26.0328025128629,2322.89053964583,7.750567611404438
TZA,TANZANIA,6.27,-4.87187489867211,-6.33808293938637,-6.20970383286476,-7.88946712017059,40.0,2.34773521988818,52.4333347484758,1207.52062988281,7.096324470169861
CPV,CAPE VERDE,6.05,13.6009876132011,5.34725168347359,-0.0375683587044479,3.69155102968217,64.0,30.3744507477139,69.1155037619615,4323.31362032709,8.371777428954365
KGZ,KYRGYZSTAN,6.0,-17.223020195961,-16.0686229467392,-12.4565818309784,-8.85623490810394,26.0,7.4579190743607,45.0948439820275,1739.72018344174,7.461479565162656
TJK,TAJIKISTAN,5.91,-20.0790101289749,-17.5795595645904,-10.5927983522415,-16.7716839313507,20.0,3.49994655487018,39.4881617560099,1052.17949484894,6.958619001223276
BTN,BHUTAN,5.89,21.2032881975174,9.41925138235092,7.8211081624031,-5.3475860953331,68.0,20.9042534207346,69.1155037619615,3711.32767981591,8.2191449567625
ZAF,SOUTH AFRICA,5.85,-4.54901871085166,0.423584748059511,-1.64041925221682,-2.59176054596901,41.0,9.10414298327623,85.378111952418,6534.24867783397,8.784812650486982
THA,THAILAND,5.82,-6.33246865868568,0.931386418640614,1.79010459780693,2.31027171015739,35.0,8.7089569765143,95.5769973139711,6909.35281815827,8.84063125364294
BGD,BANGLADESH,5.8,-15.0589536428451,-8.42120617628098,-10.6813505291939,-12.987224817276,24.0,8.83763676795251,52.8060649194004,2716.48592780431,7.9070943857110185
PAN,PANAMA,5.76,-8.88628774881363,-5.03913694620133,-1.78885988891124,1.77985006570816,35.0,19.1000557340855,44.9670337532433,17378.6070017557,9.762995246111021
ARE,UNITED ARAB EMIRATES,5.74,16.176656961441,11.7088949084282,18.1936315298081,14.4869303703309,68.0,7.89699815357687,85.7421930087712,50759.7589231191,10.83485917246951
ZMB,ZAMBIA,5.7,-7.23903501033783,-7.25324261188507,-9.07374864816665,-7.40681087970733,37.0,2.70133490529461,48.521887299618,1447.12310138035,7.277332796530802
GMB,GAMBIA,5.66,-3.87782636284828,-6.33308178186417,-9.29691880941391,-10.0039814710617,37.0,5.84073863278692,33.0110184489268,836.244875868476,6.728921483912127
PHL,PHILIPPINES,5.64,-7.57512456178665,-7.25620454549789,0.900953531265259,0.878998339176178,34.0,8.99353408601811,51.3717638928697,3548.06930572116,8.17415887698197
MWI,MALAWI,5.63,-8.53532385826111,-3.08678188920021,-11.8590994477272,-10.3563076257706,34.0,1.92929080891834,42.7078088726996,604.269740360317,6.404020688243706
HND,HONDURAS,5.6,-14.0305180549622,-14.2424871921539,-12.1363458633423,-6.7940982580185,23.0,15.2936637185329,37.8497022494385,3003.28996826399,8.007463622850228
ETH,ETHIOPIA,5.54,-6.1189641058445,-8.8154571056366,-10.7596254348755,-13.277843952179,37.0,12.0471750945074,46.4800688214244,982.103161506992,6.889696355287955
TUR,TÜRKIYE,5.53,-6.55026111006737,-6.42457607388496,-2.79072485864162,-3.42494466900825,34.0,14.6389698175253,74.0916612877286,10897.8397861365,9.29631986381792
ZWE,ZIMBABWE,5.52,-17.6057626008987,-17.3131791353226,-17.5408570766449,-19.9635426998139,24.0,5.54245401079117,59.7459292908934,2536.40050223076,7.8385012298351455
BHS,BAHAMAS,5.49,17.5884716510772,1.87723359465599,5.93718111515045,-2.05080357193947,64.0,23.506012114637,69.1155037619615,34957.1613279737,10.461878628760337
VUT,VANUATU,5.45,-0.402645360678434,4.49959689378738,-7.52363556623459,-1.27142585813999,48.0,21.0808837517803,69.1155037619615,3370.21191956953,8.122730905514544
PAK,PAKISTAN,5.44,-11.2586814165115,-9.41225981712341,-8.73858577013016,-12.4097766876221,29.0,10.7657902105724,20.9806311316514,1538.3228133171,7.338448019665027
LKA,SRI LANKA,5.42,-5.36563828587532,-0.804495502263308,-5.48216360807419,-9.15099966526032,34.0,17.2256876416819,89.2707132323262,3342.63650253855,8.114515146598043
GTM,GUATEMALA,5.38,-16.9393004179001,-15.7822128534317,-12.702832877636,-4.08534008264542,23.0,23.2898195196639,36.9778818759536,5358.70156997677,8.586476980311613
SAU,SAUDI ARABIA,5.38,4.99978983402252,4.06375893950462,8.15716433525085,5.86019670963287,52.0,7.24727179531687,74.320746724648,38510.2276211037,10.5586791374927
BRB,BARBADOS,5.32,17.9851821660995,5.02720868587494,5.99968546628952,6.67100423574448,69.0,12.8222662928264,69.1155037619615,24387.0387293761,10.10180707052906
GHA,GHANA,5.29,-0.772565741091966,-1.09107001125813,-1.18276765197516,-2.50346183776856,43.0,5.74588585335902,68.2303947936909,2229.89122647803,7.709708085900398
JAM,JAMAICA,5.29,-0.326923800632358,-1.00016140937805,8.45843666791916,2.66298943758011,44.0,6.44184339084517,73.3003615105011,6626.47502388538,8.798828271187451
